file,size_bytes,n_entries,duration_g_min,n_sub_pkg,n_constructs,n_spawns,n_deaths,n_orders,n_trades,n_upgrades,n_walls,n_proj
Napo-Niotid.rep,8150647,45084,29.2,60518,133,3961,45,1066,133,79,10,442
nick-niotid 1.rep,4941591,27732,19.1,37277,114,2330,9,534,119,50,9,56
nick-niotid 2.rep,5362671,33256,20.3,43164,102,2185,38,662,133,47,9,3
nick-niotid 3.rep,5263747,30559,19.1,40385,64,2148,4,837,183,54,6,0
Who.rep,13209340,310,22.9,409,65,0,6,56,49,32,2,0
"Вторая игра в рейт, первая победа!.rep",41060674,79094,55.4,124629,331,17658,415,5666,524,235,14,2227
Длинная.rep,12528389,624,32.3,653,110,0,5,51,246,69,0,0
Меня убили Рома и Глеб. Сво.rep,10601634,51977,30.1,65373,120,3310,73,19,9,58,2,528
НикСолов-Ниотид.rep,9966667,353,31.0,403,76,0,8,36,49,34,8,0
Ниотид мультикар 1.rep,7112241,34399,24.3,46921,135,3216,16,1019,157,70,7,312
Первая игра в рейт.rep,13235835,175,24.5,191,47,0,1,27,5,16,3,0
Первая осознанная победа Глеба и Ромы надо мной.rep,29224650,87716,43.7,119823,295,10394,9,5649,28,149,9,261
Победа над Глебом и Сашей.rep,67598458,155982,175.1,216594,363,15309,4,4377,0,173,6,13251
Победа над Глебом.rep,19615939,67455,77.4,104569,196,11313,2,1328,0,213,0,8679
Победа надо мной и Сашей.rep,105120455,349624,180.2,463913,651,33056,495,1958,61,515,0,6488
Победа2.rep,63398899,474,68.8,548,135,0,0,74,0,65,3,0
Поеда над Азиатами.rep,225510601,152274,290.1,326564,2223,43246,125,10379,129,591,0,43246
Поиграли.rep,63658830,248044,143.1,328116,8,18843,131,4697,1,540,0,1
Разгромно быстрая победа над Ромой и Сашей.rep,2298936,28882,19.1,36072,45,606,55,23,1,32,0,0
Я отомстил. Сво.rep,13014564,61802,30.0,77087,101,4584,0,116,57,82,0,453
