t_g,t_real,res_food,res_wood,res_stone,res_gold,res_iron,res_coal,farm_cap,farm_used,peasants_total,peasants_idle,bld_bavbla,bld_bavcen,bld_eurcoa,bld_eurgol,bld_euriro,bld_eurmil,bld_eursto,unit_peaaus
0.0,0.0,899,1004,1000,755,0,0,100,5,5,0,0,1,1,1,1,1,1,5
5.0,3.57,897,1029,1000,755,0,0,100,5,5,0,0,1,1,1,1,1,1,5
10.0,7.14,894,1054,1000,755,0,0,100,5,5,0,0,1,1,1,1,1,1,5
15.0,10.71,791,1079,1000,755,0,0,100,6,6,1,0,1,1,1,1,1,1,6
20.0,14.29,788,1104,1000,755,0,0,100,6,6,1,0,1,1,1,1,1,1,6
25.0,17.86,785,1129,1000,755,0,0,100,7,7,2,0,1,1,1,1,1,1,7
30.0,21.43,682,1154,1000,755,0,0,100,7,7,2,0,1,1,1,1,1,1,7
35.0,25.0,678,1179,1000,755,0,0,100,7,7,2,0,1,1,1,1,1,1,7
40.0,28.57,575,1204,1000,755,0,0,100,8,8,3,0,1,1,1,1,1,1,8
45.0,32.14,571,1228,1000,755,0,0,100,8,8,3,0,1,1,1,1,1,1,8
50.0,35.71,567,1253,1000,755,0,0,100,8,8,3,0,1,1,1,1,1,1,8
55.0,39.29,462,1278,1000,755,0,0,100,9,9,4,0,1,1,1,1,1,1,9
60.0,42.86,458,1303,1000,755,0,0,100,9,9,4,0,1,1,1,1,1,1,9
65.0,46.43,353,1328,1000,755,0,0,100,10,10,5,0,1,1,1,1,1,1,10
70.0,50.0,348,1353,1000,755,0,0,100,10,10,5,0,1,1,1,1,1,1,10
75.0,53.57,343,1378,1000,755,0,0,100,10,10,5,0,1,1,1,1,1,1,10
80.0,57.14,238,1403,1000,755,0,0,100,11,11,6,0,1,1,1,1,1,1,11
85.0,60.71,233,1428,1000,755,0,0,100,11,11,6,0,1,1,1,1,1,1,11
90.0,64.29,250,1457,1000,755,7,0,100,12,12,-2,0,1,1,1,1,1,1,12
95.0,67.86,196,1507,1000,755,47,0,100,12,12,-2,0,1,1,1,1,1,1,12
100.0,71.43,242,1557,1000,755,86,0,100,12,12,-2,0,1,1,1,1,1,1,12
105.0,75.0,188,1607,1000,755,126,0,100,13,13,-1,0,1,1,1,1,1,1,13
110.0,78.57,234,1657,1000,755,165,0,100,13,13,-1,0,1,1,1,1,1,1,13
115.0,82.14,280,1706,1000,755,205,0,100,13,13,-1,0,1,1,1,1,1,1,13
120.0,85.71,225,1756,1000,755,245,0,100,14,14,0,0,1,1,1,1,1,1,14
125.0,89.29,270,1806,1000,755,284,0,100,14,14,0,0,1,1,1,1,1,1,14
130.0,92.86,315,1856,1000,755,324,0,100,15,15,1,0,1,1,1,1,1,1,15
135.0,96.43,360,1905,1000,755,363,0,100,15,15,1,0,1,1,1,1,1,1,15
140.0,100.0,404,1955,1000,755,403,0,100,15,15,1,0,1,1,1,1,1,1,15
145.0,103.57,449,2005,1000,755,442,0,100,15,15,1,0,1,1,1,1,1,1,15
150.0,107.14,493,2055,1000,755,482,0,100,15,15,1,0,1,1,1,1,1,1,15
155.0,110.71,538,2105,1000,755,521,0,100,15,15,1,0,1,1,1,1,1,1,15
160.0,114.29,583,2154,1000,755,561,0,100,15,15,1,0,1,1,1,1,1,1,15
165.0,117.86,627,2204,1000,755,600,0,100,15,15,1,0,1,1,1,1,1,1,15
170.0,121.43,672,2254,1000,755,640,0,100,15,15,1,0,1,1,1,1,1,1,15
175.0,125.0,717,2304,1000,755,679,0,100,15,15,1,0,1,1,1,1,1,1,15
180.0,128.57,761,2353,1000,755,719,0,100,15,15,1,0,1,1,1,1,1,1,15
185.0,132.14,806,2403,1000,755,758,0,100,15,15,1,0,1,1,1,1,1,1,15
190.0,135.71,850,2453,1000,755,798,0,100,15,15,1,0,1,1,1,1,1,1,15
195.0,139.29,895,2503,1000,755,837,0,100,15,15,1,0,1,1,1,1,1,1,15
200.0,142.86,946,2553,1000,755,877,0,100,15,15,-2,0,1,1,1,1,1,1,15
205.0,146.43,1022,2602,1000,755,916,0,100,15,15,-2,0,1,1,1,1,1,1,15
210.0,150.0,1098,2652,1000,755,956,0,100,15,15,-2,0,1,1,1,1,1,1,15
215.0,153.57,1174,2702,1000,755,995,0,100,15,15,-2,0,1,1,1,1,1,1,15
220.0,157.14,1249,2752,1000,755,1035,0,100,15,15,-2,0,1,1,1,1,1,1,15
225.0,160.71,1325,2801,1000,755,1074,0,100,15,15,-2,0,1,1,1,1,1,1,15
230.0,164.29,1401,2851,1000,755,1114,0,100,15,15,-2,0,1,1,1,1,1,1,15
235.0,167.86,1477,2901,1000,755,1153,0,100,15,15,-2,0,1,1,1,1,1,1,15
240.0,171.43,1553,2951,1000,755,1193,0,100,15,15,-2,0,1,1,1,1,1,1,15
245.0,175.0,1629,3001,1000,755,1233,0,100,15,15,-2,0,1,1,1,1,1,1,15
250.0,178.57,1705,2950,970,755,632,0,100,15,15,-2,0,1,1,1,1,1,1,15
255.0,182.14,1780,3000,970,755,672,0,100,15,15,-2,0,1,1,1,1,1,1,15
260.0,185.71,1856,3050,970,755,711,0,100,15,15,-2,0,1,1,1,1,1,1,15
265.0,189.29,1932,3100,970,755,751,0,100,15,15,-2,0,1,1,1,1,1,1,15
270.0,192.86,2008,3149,970,755,790,0,100,15,15,-2,0,1,1,1,1,1,1,15
275.0,196.43,2084,3199,970,755,830,0,100,15,15,-2,0,1,1,1,1,1,1,15
280.0,200.0,2160,3249,970,755,869,0,100,15,15,-2,0,1,1,1,1,1,1,15
285.0,203.57,2236,3299,970,755,909,0,100,15,15,-2,0,1,1,1,1,1,1,15
290.0,207.14,2312,3349,970,755,948,0,100,15,15,-2,0,1,1,1,1,1,1,15
295.0,210.71,2387,3398,970,755,988,0,100,15,15,-2,0,1,1,1,1,1,1,15
300.0,214.29,2463,3448,970,755,1027,0,100,15,15,-2,0,1,1,1,1,1,1,15
305.0,217.86,2539,3498,970,755,1067,0,100,15,15,-2,0,1,1,1,1,1,1,15
310.0,221.43,2615,3548,970,755,1106,0,100,15,15,-2,0,1,1,1,1,1,1,15
315.0,225.0,2691,3597,970,755,1146,0,100,15,15,-2,0,1,1,1,1,1,1,15
320.0,228.57,2767,3647,970,755,1185,0,100,15,15,-2,0,1,1,1,1,1,1,15
325.0,232.14,2843,3697,970,755,1225,0,100,15,15,-2,0,1,1,1,1,1,1,15
330.0,235.71,2918,3747,970,755,1264,0,100,15,15,-2,0,1,1,1,1,1,1,15
335.0,239.29,2994,3797,970,755,1304,0,100,15,15,-2,0,1,1,1,1,1,1,15
340.0,242.86,3070,3846,970,755,1343,0,100,15,15,-2,0,1,1,1,1,1,1,15
345.0,246.43,3146,3896,970,755,1383,0,100,15,15,-2,0,1,1,1,1,1,1,15
350.0,250.0,3222,3946,970,755,1422,0,100,15,15,-2,0,1,1,1,1,1,1,15
355.0,253.57,3298,3996,970,755,1462,0,100,15,15,-2,0,1,1,1,1,1,1,15
360.0,257.14,3374,4045,970,755,1501,0,100,15,15,-2,1,1,1,1,1,1,1,15
