t_g,t_real,res_food,res_wood,res_stone,res_gold,res_iron,res_coal,farm_cap,farm_used,peasants_total,peasants_idle,bld_bavbar,bld_bavbla,bld_bavcen,bld_bavhou,bld_eurcoa,bld_eurgol,bld_euriro,bld_eurmil,bld_eursto,unit_peaaus
0.0,0.0,903,1004,1000,1000,1,0,100,5,5,0,0,0,1,0,1,1,1,0,1,5
5.0,3.57,922,1029,1000,1000,9,0,100,5,5,0,0,0,1,0,1,1,1,0,1,5
10.0,7.14,940,1054,1000,1000,17,0,100,5,5,0,0,0,1,0,1,1,1,0,1,5
15.0,10.71,858,1079,1000,1000,25,0,100,6,6,1,0,0,1,0,1,1,1,0,1,6
20.0,14.29,876,1104,1000,1000,33,0,100,6,6,1,0,0,1,0,1,1,1,0,1,6
25.0,17.86,894,1129,1000,1000,41,0,100,7,7,2,0,0,1,0,1,1,1,0,1,7
30.0,21.43,811,1054,900,1000,49,0,100,7,7,2,0,0,1,0,1,1,1,0,1,7
35.0,25.0,828,1079,900,1000,56,0,100,7,7,2,0,0,1,0,1,1,1,0,1,7
40.0,28.57,745,1104,900,1000,64,0,100,8,8,3,0,0,1,0,1,1,1,0,1,8
45.0,32.14,762,1128,900,1000,72,0,100,8,8,3,0,0,1,0,1,1,1,0,1,8
50.0,35.71,779,1153,900,1000,80,0,100,8,8,3,0,0,1,0,1,1,1,0,1,8
55.0,39.29,696,1178,900,1000,88,0,100,9,9,4,0,0,1,0,1,1,1,0,1,9
60.0,42.86,714,1103,800,1000,102,0,100,9,9,-1,0,0,1,0,1,1,1,0,1,9
65.0,46.43,641,1128,800,1000,142,0,100,10,10,0,0,0,1,0,1,1,1,0,1,10
70.0,50.0,667,1153,800,1000,181,0,125,10,10,0,0,0,1,1,1,1,1,0,1,10
75.0,53.57,693,1178,800,1000,221,0,125,10,10,0,0,0,1,1,1,1,1,0,1,10
80.0,57.14,619,1203,800,1000,260,0,125,11,11,1,0,0,1,1,1,1,1,0,1,11
85.0,60.71,645,1228,800,1000,300,0,125,11,11,1,0,0,1,1,1,1,1,0,1,11
90.0,64.29,671,1252,800,1000,339,0,125,12,12,2,0,0,1,1,1,1,1,0,1,12
95.0,67.86,596,1277,800,1000,379,0,125,12,12,2,0,0,1,1,1,1,1,0,1,12
100.0,71.43,621,1302,800,1000,418,0,150,12,12,2,0,0,1,2,1,1,1,0,1,12
105.0,75.0,547,1327,800,1000,458,0,150,13,13,3,0,0,1,2,1,1,1,0,1,13
110.0,78.57,571,1352,800,1000,497,0,150,13,13,3,0,0,1,2,1,1,1,0,1,13
115.0,82.14,596,1377,800,1000,537,0,150,13,13,3,0,0,1,2,1,1,1,0,1,13
120.0,85.71,521,1402,800,1000,576,0,150,14,14,4,0,0,1,2,1,1,1,0,1,14
125.0,89.29,545,1427,800,1000,616,0,150,14,14,4,0,0,1,2,1,1,1,0,1,14
130.0,92.86,569,1452,800,1000,656,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
135.0,96.43,593,1476,800,1000,695,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
140.0,100.0,617,1501,800,1000,735,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
145.0,103.57,640,1526,800,1000,774,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
150.0,107.14,664,1551,800,1000,814,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
155.0,110.71,688,1576,800,1000,853,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
160.0,114.29,712,1601,800,1000,893,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
165.0,117.86,736,1626,800,1000,932,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
170.0,121.43,759,1651,800,1000,972,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
175.0,125.0,783,1676,800,1000,1011,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
180.0,128.57,807,1700,800,1000,1051,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
185.0,132.14,831,1725,800,1000,1090,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
190.0,135.71,855,1750,800,1000,1130,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
195.0,139.29,878,1775,800,1000,1169,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
200.0,142.86,902,1700,770,1000,569,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
205.0,146.43,926,1725,770,1000,608,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
210.0,150.0,950,1750,770,1000,648,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
215.0,153.57,974,1775,770,1000,687,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
220.0,157.14,997,1800,770,1000,727,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
225.0,160.71,1021,1824,770,1000,766,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
230.0,164.29,1045,1819,620,1000,806,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
235.0,167.86,1069,1844,620,1000,845,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
240.0,171.43,1093,1869,620,1000,885,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
245.0,175.0,1116,1894,620,1000,924,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
250.0,178.57,1140,1919,620,1000,964,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
255.0,182.14,1164,1944,620,1000,1004,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
260.0,185.71,1188,1969,620,1000,1043,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
265.0,189.29,1212,1994,620,1000,1083,0,150,15,15,5,0,0,1,2,1,1,1,0,1,15
